year,month,soil_moisture,oblast
2014,2,0.2303839285714286,Aktubinskaya
2014,3,0.3019731182795699,Aktubinskaya
2014,4,0.3164736111111111,Aktubinskaya
2014,5,0.17472446236559142,Aktubinskaya
2014,6,0.1482625,Aktubinskaya
2014,7,0.15661827956989247,Aktubinskaya
2014,8,0.12376075268817205,Aktubinskaya
2014,9,0.14701111111111112,Aktubinskaya
2014,10,0.24540591397849462,Aktubinskaya
2014,11,0.26847499999999996,Aktubinskaya
2014,12,0.2761962365591398,Aktubinskaya
2015,1,0.2789233870967742,Aktubinskaya
2015,2,0.2592485119047619,Aktubinskaya
2015,3,0.2948346774193548,Aktubinskaya
2015,4,0.3571388888888889,Aktubinskaya
2015,5,0.2791841397849462,Aktubinskaya
2015,6,0.1351125,Aktubinskaya
2015,7,0.12583736559139785,Aktubinskaya
2015,8,0.1320954301075269,Aktubinskaya
2015,9,0.13686805555555556,Aktubinskaya
2015,10,0.1797056451612903,Aktubinskaya
2015,11,0.25198472222222223,Aktubinskaya
2015,12,0.2915739247311828,Aktubinskaya
2016,1,0.27825537634408604,Aktubinskaya
2016,2,0.2778635057471264,Aktubinskaya
2016,3,0.39523924731182797,Aktubinskaya
2016,4,0.3662222222222222,Aktubinskaya
2016,5,0.3202997311827957,Aktubinskaya
2016,6,0.20108055555555554,Aktubinskaya
2016,7,0.18184408602150537,Aktubinskaya
2016,8,0.1243521505376344,Aktubinskaya
2016,9,0.15759861111111112,Aktubinskaya
2016,10,0.20751075268817204,Aktubinskaya
2016,11,0.26179861111111113,Aktubinskaya
2016,12,0.2654153225806452,Aktubinskaya
2017,1,0.21299059139784945,Aktubinskaya
2017,2,0.21683333333333332,Aktubinskaya
2017,3,0.29381182795698924,Aktubinskaya
2017,4,0.33405416666666665,Aktubinskaya
2017,5,0.21858736559139783,Aktubinskaya
2017,6,0.17266111111111113,Aktubinskaya
2017,7,0.1517258064516129,Aktubinskaya
2017,8,0.14461827956989248,Aktubinskaya
2017,9,0.1370888888888889,Aktubinskaya
2017,10,0.2654462365591398,Aktubinskaya
2017,11,0.3139597222222222,Aktubinskaya
2017,12,0.28634408602150535,Aktubinskaya
2018,1,0.28057795698924737,Aktubinskaya
2018,2,0.2829970238095238,Aktubinskaya
2018,3,0.3205013440860215,Aktubinskaya
2018,4,0.31585,Aktubinskaya
2018,5,0.1659744623655914,Aktubinskaya
2018,6,0.1408,Aktubinskaya
2018,7,0.13089112903225805,Aktubinskaya
2018,8,0.1373991935483871,Aktubinskaya
2018,9,0.15314583333333334,Aktubinskaya
2018,10,0.1651962365591398,Aktubinskaya
2018,11,0.1812736111111111,Aktubinskaya
2018,12,0.24266935483870966,Aktubinskaya
2019,1,0.23819489247311826,Aktubinskaya
2019,2,0.23724255952380952,Aktubinskaya
2019,3,0.29515456989247313,Aktubinskaya
2019,4,0.27803472222222225,Aktubinskaya
2019,5,0.15300806451612903,Aktubinskaya
2019,6,0.1313888888888889,Aktubinskaya
2019,7,0.13967204301075267,Aktubinskaya
2019,8,0.17733198924731183,Aktubinskaya
2019,9,0.1987611111111111,Aktubinskaya
2019,10,0.17343682795698925,Aktubinskaya
2019,11,0.18782222222222222,Aktubinskaya
2019,12,0.1999274193548387,Aktubinskaya
2020,1,0.2094287634408602,Aktubinskaya
2020,2,0.2297485632183908,Aktubinskaya
2020,3,0.32831451612903223,Aktubinskaya
2020,4,0.28126527777777777,Aktubinskaya
2020,5,0.21371908602150538,Aktubinskaya
2020,6,0.13584861111111113,Aktubinskaya
2020,7,0.14473655913978495,Aktubinskaya
2020,8,0.15473521505376345,Aktubinskaya
2020,9,0.15595277777777777,Aktubinskaya
2020,10,0.15781451612903227,Aktubinskaya
2020,11,0.22221805555555557,Aktubinskaya
2020,12,0.224,Aktubinskaya
2021,1,0.224,Aktubinskaya
2021,2,0.29122023809523806,Aktubinskaya
2021,3,0.3034032258064516,Aktubinskaya
2021,4,0.3147638888888889,Aktubinskaya
2021,5,0.14584543010752687,Aktubinskaya
2021,6,0.13831527777777777,Aktubinskaya
2021,7,0.13216532258064517,Aktubinskaya
2021,8,0.11568145161290323,Aktubinskaya
2021,9,0.15194444444444447,Aktubinskaya
2021,10,0.18397580645161293,Aktubinskaya
2021,11,0.26713611111111113,Aktubinskaya
2021,12,0.3109247311827957,Aktubinskaya
2022,1,0.32077956989247314,Aktubinskaya
2022,2,0.3218229166666667,Aktubinskaya
2022,3,0.3852741935483871,Aktubinskaya
2022,4,0.3450513888888889,Aktubinskaya
2022,5,0.23819220430107527,Aktubinskaya
2022,6,0.13633472222222223,Aktubinskaya
2022,7,0.19587903225806452,Aktubinskaya
2022,8,0.14253629032258064,Aktubinskaya
2022,9,0.1502638888888889,Aktubinskaya
2022,10,0.19193951612903226,Aktubinskaya
2022,11,0.31956805555555556,Aktubinskaya
2022,12,0.3149596774193549,Aktubinskaya
2023,1,0.31616532258064517,Aktubinskaya
2023,2,0.3131488095238095,Aktubinskaya
2023,3,0.35494354838709674,Aktubinskaya
2023,4,0.28713194444444445,Aktubinskaya
2023,5,0.23723387096774196,Aktubinskaya
2023,6,0.14634444444444444,Aktubinskaya
2023,7,0.14875806451612902,Aktubinskaya
2023,8,0.14675403225806452,Aktubinskaya
2023,9,0.2896625,Aktubinskaya
2023,10,0.32011021505376347,Aktubinskaya
2023,11,0.36254166666666665,Aktubinskaya
2023,12,0.3709758064516129,Aktubinskaya
2014,1,0.4130645161290322,Almatinskaya
2014,2,0.5377574404761905,Almatinskaya
2014,3,0.5235873655913978,Almatinskaya
2014,4,0.32685,Almatinskaya
2014,5,0.2298037634408602,Almatinskaya
2014,6,0.1943333333333333,Almatinskaya
2014,7,0.17900403225806452,Almatinskaya
2014,8,0.1767029569892473,Almatinskaya
2014,9,0.1840277777777778,Almatinskaya
2014,10,0.39640053763440863,Almatinskaya
2014,11,0.46806388888888883,Almatinskaya
